"INCIDENT_KEY","VICTIM_ID","VICTIM_AGE_GROUP","VICTIM_SEX","VICTIM_RACE","STAT_MURDER_FLG"
"24378768","24378768-10064","25-44","MALE","BLACK","Y"
"24394055","24394055-10069","18-24","MALE","BLACK","N"
"24591358","24591358-10162","45-64","MALE","BLACK HISPANIC","N"
"24643627","24643627-10195","18-24","MALE","BLACK HISPANIC","Y"
"24643627","24643627-10196","25-44","MALE","BLACK HISPANIC","N"
"24659051","24659051-10202","65+","MALE","WHITE HISPANIC","N"
"24687029","24687029-10217","<18","MALE","BLACK","N"
"24814494","24814494-10254","25-44","MALE","BLACK","N"
"24888646","24888646-10304","25-44","MALE","BLACK","N"
"25055202","25055202-10369","25-44","MALE","BLACK","Y"
"25055205","25055205-10373","45-64","MALE","ASIAN / PACIFIC ISLANDER","N"
"25078536","25078536-10378","18-24","FEMALE","BLACK","N"
"25095837","25095837-10383","25-44","MALE","BLACK","N"
"25207007","25207007-10412","18-24","MALE","BLACK","N"
"25217938","25217938-10417","25-44","MALE","BLACK","N"
"25240993","25240993-10418","25-44","MALE","BLACK","N"
"25257130","25257130-10425","<18","MALE","BLACK","Y"
"25257130","25257130-10441","45-64","MALE","BLACK","N"
"25260906","25260906-10432","25-44","MALE","WHITE HISPANIC","N"
"25370562","25370562-10481","18-24","MALE","BLACK","Y"
"25452379","25452379-10518","25-44","MALE","WHITE HISPANIC","Y"
"25452379","25452379-10519","18-24","MALE","WHITE HISPANIC","N"
"25466216","25466216-10531","<18","MALE","BLACK","N"
"25544431","25544431-10572","<18","MALE","BLACK HISPANIC","N"
"25574779","25574779-10581","45-64","MALE","BLACK","N"
"25640830","25640830-10616","<18","FEMALE","BLACK","N"
"25640831","25640831-10617","25-44","FEMALE","BLACK","N"
"25658624","25658624-10621","18-24","MALE","BLACK","N"
"25658628","25658628-10628","18-24","MALE","WHITE HISPANIC","N"
"25689177","25689177-10637","25-44","MALE","BLACK","N"
"25754261","25754261-10664","<18","MALE","BLACK","N"
"25921477","25921477-10718","<18","MALE","BLACK HISPANIC","Y"
"25980540","25980540-10752","25-44","MALE","BLACK","N"
"25980542","25980542-10754","18-24","MALE","BLACK","N"
"25980543","25980543-10757","25-44","MALE","WHITE","N"
"26087355","26087355-10820","18-24","MALE","BLACK","N"
"26216710","26216710-10842","25-44","MALE","WHITE HISPANIC","Y"
"26475582","26475582-10887","18-24","FEMALE","WHITE HISPANIC","Y"
"26475585","26475585-10890","45-64","MALE","BLACK","N"
"26562471","26562471-10919","18-24","FEMALE","BLACK HISPANIC","N"
"26562471","26562471-10920","18-24","FEMALE","BLACK HISPANIC","N"
"26570236","26570236-10926","25-44","MALE","WHITE","N"
"26672216","26672216-10952","25-44","MALE","BLACK","N"
"26823550","26823550-10990","18-24","MALE","BLACK","N"
"26916114","26916114-11000","25-44","MALE","WHITE HISPANIC","N"
"26916114","26916114-11001","25-44","MALE","WHITE HISPANIC","N"
"27043121","27043121-11021","18-24","MALE","BLACK","Y"
"27196489","27196489-11047","18-24","MALE","BLACK HISPANIC","N"
"27415044","27415044-11095","25-44","MALE","WHITE HISPANIC","Y"
"27415044","27415044-11096","25-44","MALE","WHITE","Y"
"27415044","27415044-11097","18-24","MALE","WHITE","Y"
